,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,
Cycles,L1_CLEAN,L2_CLEAN,L3_CLEAN,REMOTE_L1_CLEAN,REMOTE_L2_CLEAN,REMOTE_L3_CLEAN,L1_DIRTY,L2_DIRTY,L3_DIRTY,REMOTE_L1_DIRTY,REMOTE_L2_DIRTY,REMOTE_L3_DIRTY,DRAM,L1_REMOTE_L1_CLEAN,L1_REMOTE_L2_CLEAN,L1_REMOTE_L3_CLEAN,L2_REMOTE_L1_CLEAN,L2_REMOTE_L2_CLEAN,L2_REMOTE_L3_CLEAN,L3_REMOTE_L1_CLEAN,L3_REMOTE_L2_CLEAN,L3_REMOTE_L3_CLEAN,L1_CLEAN,L2_CLEAN,L3_CLEAN,REMOTE_L1_CLEAN,REMOTE_L2_CLEAN,REMOTE_L3_CLEAN,L1_DIRTY,L2_DIRTY,L3_DIRTY,REMOTE_L1_DIRTY,REMOTE_L2_DIRTY,REMOTE_L3_DIRTY,DRAM,L1_REMOTE_L1_CLEAN,L1_REMOTE_L2_CLEAN,L1_REMOTE_L3_CLEAN,L2_REMOTE_L1_CLEAN,L2_REMOTE_L2_CLEAN,L2_REMOTE_L3_CLEAN,L3_REMOTE_L1_CLEAN,L3_REMOTE_L2_CLEAN,L3_REMOTE_L3_CLEAN,
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1060,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
1070,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,
1080,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,
1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
